1	Al Martino	Here in My Heart	1952	Capitol	14 November 1952	9
2	Jo Stafford	You Belong to Me	1953	Columbia	16 January 1953	1
3	Kay Starr	Comes A-Long A-Love	1953	Capitol	23 January 1953	1
4	Eddie Fisher	Outside of Heaven	1953	HMV	30 January 1953	1
5	Perry Como	Don't Let the Stars Get in Your Eyes	1953	HMV	6 February 1953	5
6	Guy Mitchell	She Wears Red Feathers	1953	Columbia	13 March 1953	4
7	The Stargazers	Broken Wings	1953	Decca	10 April 1953	1
8	Lita Roza	(How Much Is) That Doggie in the Window?	1953	Decca	17 April 1953	1
9	Frankie Laine	I Believe	1953	Philips	24 April 1953	9
10	Eddie Fisher with Sally Sweetland	I'm Walking Behind You	1953	HMV	26 June 1953	1
11	Mantovani	The Song from Moulin Rouge	1953	Decca	14 August 1953	1
12	Guy Mitchell	Look at That Girl	1953	Philips	11 September 1953	6
13	Frankie Laine	Hey Joe	1953	Philips	23 October 1953	2
14	David Whitfield	Answer Me	1953	Decca	6 November 1953	1
15	Frankie Laine	Answer Me	1953	Philips	13 November 1953	8
16	Eddie Calvert	Oh Mein Papa	1954	Columbia	8 January 1954	9
17	The Stargazers	I See the Moon	1954	Decca	12 March 1954	5
18	Doris Day	Secret Love	1954	Philips	16 April 1954	1
19	Johnnie Ray	Such a Night	1954	Philips	30 April 1954	1
20	David Whitfield with Mantovani and his Orchestra	Cara Mia	1954	Decca	2 July 1954	10
21	Kitty Kallen	Little Things Mean a Lot	1954	Brunswick	10 September 1954	1
22	Frank Sinatra	Three Coins in the Fountain	1954	Capitol	17 September 1954	3
23	Don Cornell	Hold My Hand	1954	Vogue	8 October 1954	4
24	Vera Lynn	My Son, My Son	1954	Decca	5 November 1954	2
25	Rosemary Clooney	This Ole House	1954	Philips	26 November 1954	1
26	Winifred Atwell	Let's Have Another Party	1954	Philips	3 December 1954	5
27	Dickie Valentine with the Stargazers	The Finger of Suspicion	1955	Decca	7 January 1955	1
28	Rosemary Clooney	Mambo Italiano	1955	Philips	14 January 1955	1
29	Ruby Murray	Softly, Softly	1955	Columbia	18 February 1955	3
30	Tennessee Ernie Ford	Give Me Your Word	1955	Capitol	11 March 1955	7
31	Pérez Prado and his Orchestra	Cherry Pink (and Apple Blossom White)	1955	HMV	29 April 1955	2
32	Tony Bennett	Stranger in Paradise	1955	Philips	13 May 1955	2
33	Eddie Calvert	Cherry Pink (and Apple Blossom White)	1955	Columbia	27 May 1955	4
34	Jimmy Young	Unchained Melody	1955	Decca	24 June 1955	3
35	Alma Cogan	Dreamboat	1955	HMV	15 July 1955	2
36	Slim Whitman	Rose Marie	1955	London	29 July 1955	11
37	Jimmy Young	The Man from Laramie	1955	Decca	14 October 1955	4
38	The Johnston Brothers	Hernando's Hideaway	1955	Decca	11 November 1955	2
39	Bill Haley & His Comets	Rock Around the Clock	1955	Brunswick	25 November 1955	3
40	Dickie Valentine	Christmas Alphabet	1955	Decca	16 December 1955	3
re	Bill Haley & His Comets	Rock Around the Clock	1956	Brunswick	6 January 1956	2
41	Tennessee Ernie Ford	Sixteen Tons	1956	Capitol	20 January 1956	4
42	Dean Martin	Memories Are Made of This	1956	Capitol	17 February 1956	4
43	The Dream Weavers	It's Almost Tomorrow	1956	Brunswick	16 March 1956	2
44	Kay Starr	Rock and Roll Waltz	1956	HMV	30 March 1956	1
45	Winifred Atwell	The Poor People of Paris	1956	Decca	13 April 1956	3
46	Ronnie Hilton	No Other Love	1956	HMV	4 May 1956	6
47	Pat Boone	I'll Be Home	1956	London	15 June 1956	5
48	The Teenagers	Why Do Fools Fall in Love	1956	Columbia	20 July 1956	3
49	Doris Day	Whatever Will Be, Will Be (Que Sera, Sera)	1956	Philips	10 August 1956	6
50	Anne Shelton	Lay Down Your Arms	1956	Philips	21 September 1956	4
51	Frankie Laine	A Woman in Love	1956	Philips	19 October 1956	4
52	Johnnie Ray	Just Walking in the Rain	1956	Philips	16 November 1956	7
53	Guy Mitchell	Singing the Blues	1957	Philips	4 January 1957	1
54	Tommy Steele	Singing the Blues	1957	Decca	11 January 1957	1
55	Frankie Vaughan	The Garden of Eden	1957	Philips	25 January 1957	4
56	Tab Hunter	Young Love	1957	London	22 February 1957	7
57	Lonnie Donegan	Cumberland Gap	1957	Pye Nixa	12 April 1957	5
58	Guy Mitchell	Rock-a-Billy	1957	Philips	17 May 1957	1
59	Andy Williams	Butterfly	1957	London	24 May 1957	2
60	Johnnie Ray	Yes Tonight Josephine	1957	Philips	7 June 1957	3
61	Lonnie Donegan	Gamblin' Man / Puttin' On the Style	1957	Pye Nixa	28 June 1957	2
62	Elvis Presley	All Shook Up	1957	RCA	12 July 1957	7
63	Paul Anka	Diana	1957	Columbia	30 August 1957	9
64	The Crickets	That'll Be the Day	1957	Vogue Coral	1 November 1957	3
65	Harry Belafonte	Mary's Boy Child	1957	RCA	22 November 1957	7
66	Jerry Lee Lewis	Great Balls of Fire	1958	London	10 January 1958	2
67	Elvis Presley	Jailhouse Rock	1958	RCA	24 January 1958	3
68	Michael Holliday	The Story of My Life	1958	Columbia	14 February 1958	2
69	Perry Como	Magic Moments	1958	RCA	28 February 1958	8
70	Marvin Rainwater	Whole Lotta Woman	1958	MGM	25 April 1958	3
71	Connie Francis	Who's Sorry Now	1958	MGM	16 May 1958	6
72	Vic Damone	On the Street Where You Live	1958	Philips	27 June 1958	2
73	The Everly Brothers	All I Have to Do Is Dream / Claudette	1958	London	4 July 1958	7
74	The Kalin Twins	When	1958	Brunswick	22 August 1958	5
75	Connie Francis	Stupid Cupid / Carolina Moon	1958	MGM	26 September 1958	6
76	Tommy Edwards	It's All in the Game	1958	MGM	7 November 1958	3
77	Lord Rockingham's XI	Hoots Mon	1958	Decca	28 November 1958	3
78	Conway Twitty	It's Only Make Believe	1958	MGM	19 December 1958	5
79	Jane Morgan	The Day the Rains Came	1959	London	23 January 1959	1
80	Elvis Presley	One Night / I Got Stung	1959	RCA	30 January 1959	3
81	Shirley Bassey	As I Love You	1959	Columbia	20 February 1959	4
82	The Platters	Smoke Gets in Your Eyes	1959	Mercury	20 March 1959	1
83	Russ Conway	Side Saddle	1959	Columbia	27 March 1959	4
84	Buddy Holly	It Doesn't Matter Anymore	1959	Coral	24 April 1959	3
85	Elvis Presley	A Fool Such as I / I Need Your Love Tonight	1959	RCA	15 May 1959	5
86	Russ Conway	Roulette	1959	Columbia	19 June 1959	2
87	Bobby Darin	Dream Lover	1959	London	3 July 1959	4
88	Cliff Richard and the Drifters	Living Doll	1959	Columbia	31 July 1959	6
89	Craig Douglas	Only Sixteen	1959	Top Rank	11 September 1959	4
90	Jerry Keller	Here Comes Summer	1959	London	9 October 1959	1
91	Bobby Darin	Mack the Knife	1959	London	16 October 1959	2
92	Cliff Richard and the Shadows	Travellin' Light	1959	Columbia	30 October 1959	5
93	Adam Faith	What Do You Want?	1959	Parlophone	4 December 1959	3
94	Emile Ford and the Checkmates	What Do You Want to Make Those Eyes at Me For?	1959	Pye	18 December 1959	6
95	Michael Holliday	Starry Eyed	1960	Columbia	29 January 1960	1
96	Anthony Newley	Why	1960	Decca	5 February 1960	4
97	Adam Faith	Poor Me	1960	Parlophone	3 March 1960	2
98	Johnny Preston	Running Bear	1960	Mercury	17 March 1960	2
99	Lonnie Donegan	My Old Man's a Dustman	1960	Pye	31 March 1960	4
100	Anthony Newley	Do You Mind?	1960	Decca	28 April 1960	1
101	The Everly Brothers	Cathy's Clown	1960	Warner Bros.	5 May 1960	7
102	Eddie Cochran	Three Steps to Heaven	1960	London	23 June 1960	2
103	Jimmy Jones	Good Timin'	1960	MGM	7 July 1960	3
104	Cliff Richard and the Shadows	Please Don't Tease	1960	Columbia	28 July 1960	1
105	Johnny Kidd and the Pirates	Shakin' All Over	1960	HMV	4 August 1960	1
106	The Shadows	Apache	1960	Columbia	25 August 1960	5
107	Ricky Valance	Tell Laura I Love Her	1960	Columbia	29 September 1960	3
108	Roy Orbison	Only the Lonely	1960	London	20 October 1960	2
109	Elvis Presley	It's Now or Never	1960	RCA	3 November 1960	8
110	Cliff Richard and the Shadows	I Love You	1960	Columbia	29 December 1960	2
111	Johnny Tillotson	Poetry in Motion	1961	London	12 January 1961	2
112	Elvis Presley	Are You Lonesome Tonight?	1961	RCA	26 January 1961	4
113	Petula Clark	Sailor	1961	Pye	23 February 1961	1
114	The Everly Brothers	Walk Right Back / Ebony Eyes	1961	Warner Bros.	2 March 1961	3
115	Elvis Presley	Wooden Heart	1961	RCA	23 March 1961	6
116	The Marcels	Blue Moon	1961	Pye International	4 May 1961	2
117	Floyd Cramer	On the Rebound	1961	RCA	18 May 1961	1
118	The Temperance Seven	You're Driving Me Crazy	1961	Parlophone	25 May 1961	1
119	Elvis Presley	Surrender	1961	RCA	1 June 1961	4
120	Del Shannon	Runaway	1961	London	29 June 1961	3
121	The Everly Brothers	Temptation	1961	Warner Bros.	20 July 1961	2
122	Eden Kane	Well I Ask You	1961	Decca	3 August 1961	1
123	Helen Shapiro	You Don't Know	1961	Columbia	10 August 1961	3
124	John Leyton	Johnny Remember Me	1961	Top Rank	31 August 1961	3
125	Shirley Bassey	Reach for the Stars / Climb Ev'ry Mountain	1961	Columbia	21 September 1961	1
126	The Shadows	Kon-Tiki	1961	Columbia	5 October 1961	1
127	The Highwaymen	Michael	1961	HMV	12 October 1961	1
128	Helen Shapiro	Walkin' Back to Happiness	1961	Columbia	19 October 1961	3
129	Elvis Presley	(Marie's the Name) His Latest Flame / Little Sister	1961	RCA	9 November 1961	4
130	Frankie Vaughan	Tower of Strength	1961	Philips	7 December 1961	3
131	Danny Williams	Moon River	1961	HMV	28 December 1961	2
132	Cliff Richard and the Shadows	The Young Ones	1962	Columbia	11 January 1962	6
133	Elvis Presley	Can't Help Falling in Love / Rock-A-Hula Baby	1962	RCA	22 February 1962	4
134	The Shadows	Wonderful Land	1962	Columbia	22 March 1962	8
135	B. Bumble and the Stingers	Nut Rocker	1962	Top Rank	17 May 1962	1
136	Elvis Presley	Good Luck Charm	1962	RCA	24 May 1962	5
137	Mike Sarne with Wendy Richard	Come Outside	1962	Parlophone	28 June 1962	2
138	Ray Charles	I Can't Stop Loving You	1962	HMV	12 July 1962	2
139	Frank Ifield	I Remember You	1962	Columbia	26 July 1962	7
140	Elvis Presley	She's Not You	1962	RCA	13 September 1962	3
141	The Tornados	Telstar	1962	Decca	4 October 1962	5
142	Frank Ifield	Lovesick Blues	1962	Columbia	8 November 1962	5
143	Elvis Presley	Return to Sender	1962	RCA	13 December 1962	3
144	Cliff Richard and the Shadows	The Next Time / Bachelor Boy	1963	Columbia	3 January 1963	3
145	The Shadows	Dance On!	1963	Columbia	24 January 1963	1
146	Jet Harris and Tony Meehan	Diamonds	1963	Decca	31 January 1963	3
147	Frank Ifield	The Wayward Wind	1963	Columbia	21 February 1963	3
148	Cliff Richard and the Shadows	Summer Holiday	1963	Columbia	14 March 1963	2
149	The Shadows	Foot Tapper	1963	Columbia	28 March 1963	1
150	Gerry and the Pacemakers	How Do You Do It?	1963	Columbia	11 April 1963	3
151	The Beatles	From Me to You	1963	Parlophone	2 May 1963	7
152	Gerry and the Pacemakers	I Like It	1963	Columbia	20 June 1963	4
153	Frank Ifield	Confessin'	1963	Columbia	18 July 1963	2
154	Elvis Presley	(You're the) Devil in Disguise	1963	RCA	1 August 1963	1
155	The Searchers	Sweets for My Sweet	1963	Pye	8 August 1963	2
156	Billy J. Kramer and the Dakotas	Bad to Me	1963	Parlophone	22 August 1963	3
157	The Beatles	She Loves You	1963	Parlophone	12 September 1963	4
158	Brian Poole and the Tremeloes	Do You Love Me	1963	Decca	10 October 1963	3
159	Gerry and the Pacemakers	You'll Never Walk Alone	1963	Columbia	31 October 1963	4
160	The Beatles	I Want to Hold Your Hand	1963	Parlophone	12 December 1963	5
161	The Dave Clark Five	Glad All Over	1964	Columbia	16 January 1964	2
162	The Searchers	Needles and Pins	1964	Pye	30 January 1964	3
163	The Bachelors	Diane	1964	Decca	20 February 1964	1
164	Cilla Black	Anyone Who Had a Heart	1964	Parlophone	27 February 1964	3
165	Billy J. Kramer and the Dakotas	Little Children	1964	Parlophone	19 March 1964	2
166	The Beatles	Can't Buy Me Love	1964	Parlophone	2 April 1964	3
167	Peter and Gordon	A World Without Love	1964	Columbia	23 April 1964	2
168	The Searchers	Don't Throw Your Love Away	1964	Pye	7 May 1964	2
169	The Four Pennies	Juliet	1964	Philips	21 May 1964	1
170	Cilla Black	You're My World	1964	Parlophone	28 May 1964	4
171	Roy Orbison	It's Over	1964	London	25 June 1964	2
172	The Animals	The House of the Rising Sun	1964	Columbia	9 July 1964	1
173	The Rolling Stones	It's All Over Now	1964	Decca	16 July 1964	1
174	The Beatles	A Hard Day's Night	1964	Parlophone	23 July 1964	3
175	Manfred Mann	Do Wah Diddy Diddy	1964	HMV	13 August 1964	2
176	The Honeycombs	Have I the Right?	1964	Pye	27 August 1964	2
177	The Kinks	You Really Got Me	1964	Pye	10 September 1964	2
178	Herman's Hermits	I'm Into Something Good	1964	Columbia	24 September 1964	2
179	Roy Orbison	Oh, Pretty Woman	1964	London	8 October 1964	2
180	Sandie Shaw	(There's) Always Something There to Remind Me	1964	Pye	22 October 1964	3
181	The Supremes	Baby Love	1964	Stateside	19 November 1964	2
182	The Rolling Stones	Little Red Rooster	1964	Decca	3 December 1964	1
183	The Beatles	I Feel Fine	1964	Parlophone	10 December 1964	5
184	Georgie Fame and the Blue Flames	Yeh, Yeh	1965	Columbia	14 January 1965	2
185	The Moody Blues	Go Now	1965	Decca	28 January 1965	1
186	The Righteous Brothers	You've Lost That Lovin' Feelin'	1965	London	4 February 1965	2
187	The Kinks	Tired of Waiting for You	1965	Pye	18 February 1965	1
188	The Seekers	I'll Never Find Another You	1965	Columbia	25 February 1965	2
189	Tom Jones	It's Not Unusual	1965	Decca	11 March 1965	1
190	The Rolling Stones	The Last Time	1965	Decca	18 March 1965	3
191	Unit 4 + 2	Concrete and Clay	1965	Decca	8 April 1965	1
192	Cliff Richard	The Minute You're Gone	1965	Columbia	15 April 1965	1
193	The Beatles	Ticket to Ride	1965	Parlophone	22 April 1965	3
194	Roger Miller	King of the Road	1965	Philips	13 May 1965	1
195	Jackie Trent	Where Are You Now	1965	Pye	20 May 1965	1
196	Sandie Shaw	Long Live Love	1965	Pye	27 May 1965	3
197	Elvis Presley	Crying in the Chapel	1965	RCA	17 June 1965	1
198	The Hollies	I'm Alive	1965	Parlophone	24 June 1965	1
199	The Byrds	Mr. Tambourine Man	1965	CBS	22 July 1965	2
200	The Beatles	Help!	1965	Parlophone	5 August 1965	3
201	Sonny & Cher	I Got You Babe	1965	Atlantic	26 August 1965	2
202	The Rolling Stones	(I Can't Get No) Satisfaction	1965	Decca	9 September 1965	2
203	The Walker Brothers	Make It Easy on Yourself	1965	Philips	23 September 1965	1
204	Ken Dodd	Tears	1965	Columbia	30 September 1965	5
205	The Rolling Stones	Get Off of My Cloud	1965	Decca	4 November 1965	3
206	The Seekers	The Carnival Is Over	1965	Columbia	25 November 1965	3
207	The Beatles	Day Tripper / We Can Work It Out	1965	Parlophone	16 December 1965	5
208	The Spencer Davis Group	Keep On Running	1966	Fontana	20 January 1966	1
209	The Overlanders	Michelle	1966	Pye	27 January 1966	3
210	Nancy Sinatra	These Boots Are Made for Walkin'	1966	Reprise	17 February 1966	4
211	The Walker Brothers	The Sun Ain't Gonna Shine Anymore	1966	Philips	17 March 1966	4
212	The Spencer Davis Group	Somebody Help Me	1966	Fontana	14 April 1966	2
213	Dusty Springfield	You Don't Have to Say You Love Me	1966	Philips	28 April 1966	1
214	Manfred Mann	Pretty Flamingo	1966	HMV	5 May 1966	3
215	The Rolling Stones	Paint It Black	1966	Decca	26 May 1966	1
216	Frank Sinatra	Strangers in the Night	1966	Reprise	2 June 1966	3
217	The Beatles	Paperback Writer	1966	Parlophone	23 June 1966	2
218	The Kinks	Sunny Afternoon	1966	Pye	7 July 1966	2
219	Georgie Fame and the Blue Flames	Get Away	1966	Columbia	21 July 1966	1
220	Chris Farlowe	Out of Time	1966	Immediate	28 July 1966	1
221	The Troggs	With a Girl Like You	1966	Fontana	4 August 1966	2
222	The Beatles	Yellow Submarine / Eleanor Rigby	1966	Parlophone	18 August 1966	4
223	Small Faces	All or Nothing	1966	Decca	15 September 1966	1
224	Jim Reeves	Distant Drums	1966	RCA	22 September 1966	5
225	Four Tops	Reach Out I'll Be There	1966	Tamla Motown	27 October 1966	3
